virus,realm,locus_tag,host,type,shape,corr,p.value
Wenzhou picorna-like virus 32,Riboviria,BWS78,invertebrates,RNA,linear,-0.495791934541204,8.1141691607674e-05
Mannheimia phage vB MhS 587AP2,NA,AU484,NA,NA,NA,-0.464699006428989,0.000245383268826983
Streptomyces phage Alsaber,Duplodnaviria,KGG97,bacteria,DNA,linear,0.465800865800866,0.000393069007998297
Acinetobacter phage WCHABP1,Duplodnaviria,FDH91,bacteria,DNA,circular,-0.53874926943308,1.48427156468035e-05
Gordonia phage Ailee,Duplodnaviria,KNU17,bacteria,DNA,linear,0.481706604324956,0.00013559171943025
Potato yellow vein virus,Riboviria,PYVV,land plants,RNA,linear,-0.543834015195792,1.19717616080452e-05
Fengkai orbivirus,Riboviria,AMQ96,invertebrates,RNA,linear,-0.440093512565751,0.000551002746228809
Beihai picorna-like virus 84,Riboviria,BVJ87,invertebrates,RNA,linear,0.151434987234304,0.255732167682091
Cryphonectria hypovirus 1,Riboviria,CHV1gp,fungi,RNA,linear,-0.136002337814144,0.303514531460527
Desmodium mottle virus,Monodnaviria,D1U04,land plants,DNA,circular,-0.415254237288136,0.00117945629197011
Mycobacterium phage Mule,NA,JMN80,NA,DNA,linear,0.498246639392168,7.40390434984648e-05
Human papillomavirus 178,Monodnaviria,DK21,human,DNA,linear,-0.583284628872005,2.03614074233099e-06
Oropouche virus,Riboviria,OROV,human:invertebrates:vertebrates,RNA,linear,-0.491466978375219,9.52064687688315e-05
Lactococcus phage 38503,Duplodnaviria,HYP28,bacteria,DNA,linear,-0.559731151373466,5.99459655566327e-06
Wenling narna-like virus 3,Riboviria,BWT43,invertebrates,RNA,linear,-0.395675043834015,0.00207091380760098
Antarctic picorna-like virus 2,NA,A9K90,NA,RNA,linear,-0.495616598480421,8.16723612258928e-05
Penaeus vannamei nodavirus,Riboviria,PvNVsRNA,invertebrates,RNA,linear,-0.444009351256575,0.000486270428555343
Fragaria chiloensis cryptic virus,NA,FCCV,NA,RNA,linear,-0.359263588544711,0.00544072888351416
Beihai anemone virus 1,NA,BVE94,NA,RNA,linear,-0.562244301578025,5.35896253853957e-06
Niakha virus,NA,OI45,NA,RNA,linear,-0.449561659848042,0.00040632613002025
Murine adeno-associated virus 2,Monodnaviria,KM651,vertebrates,DNA,linear,0.0375803623611923,0.776992876491205
Mossman virus,Riboviria,MV,vertebrates,RNA,linear,-0.490064289888954,0.000100230316710433
Simian hemorrhagic fever virus,Riboviria,SHFVgp,vertebrates,RNA,linear,-0.273699590882525,0.036267840270591
Tomato leaf curl New Delhi virus 2,Monodnaviria,D1Q92,land plants,DNA,circular,-0.251841028638223,0.0545762826851062
Staphylococcus phage 71,NA,ST71ORF0,NA,NA,NA,-0.549561659848042,9.36312546322163e-06
Salmonella phage vB SenS BPS1,NA,JT336,NA,NA,NA,0.216540035067212,0.0994820630687089
Bovine polyomavirus 3,Monodnaviria,RC69,vertebrates,DNA,circular,-0.439781271360219,0.000780802078622053
Muir Springs virus,Riboviria,KM693,invertebrates,RNA,linear,-0.503214494447692,6.13893531406739e-05
Eptesicus serotinus papillomavirus 2,Monodnaviria,D1R37,vertebrates,DNA,circular,-0.431385154880187,0.000723949498083691
Human astrovirus,Riboviria,HAstVgp,human,RNA,linear,-0.497779076563413,7.5345960950648e-05
Mycobacterium phage Wildcat,Duplodnaviria,Wildcat,bacteria,DNA,linear,0.295908825248393,0.0232279389833684
Maize-associated totivirus 3,Riboviria,C1182,land plants,RNA,linear,-0.21052016364699,0.109429853403541
Synechococcus phage ACG-2014i,Duplodnaviria,ABY41,bacteria,DNA,circular,-0.503272939801286,6.12532223454526e-05
Tomato leaf curl Malaysia virus,NA,ToLCMVgp,NA,DNA,circular,-0.445762711864407,0.000459598251754481
Rocio virus,Riboviria,EXL02,human:invertebrates,RNA,linear,-0.0898889538281707,0.497365564705168
Cellulophaga phage phi38:1,Duplodnaviria,Phi38,bacteria,DNA,circular,-0.546522501461134,1.06724908745399e-05
Escherichia phage K1ind1,Duplodnaviria,FDH14,bacteria,DNA,circular,-0.14541203974284,0.271033595234223
Bacillus phage CP-51,Duplodnaviria,OZ73,bacteria,DNA,linear,-0.505435417884278,5.64084200224887e-05
Spodoptera eridania nucleopolyhedrovirus,Naldaviricetes,KM666,invertebrates,DNA,circular,-0.0352425482174167,0.790548889120944
Dahlia mosaic virus,Riboviria,C716,land plants,DNA,circular,-0.460198714202221,0.00028572629747664
Lactococcus phage M5938,Duplodnaviria,BI061,bacteria,DNA,linear,-0.519403857393337,3.27213850030562e-05
Beihai picorna-like virus 83,Riboviria,BVJ88,invertebrates,RNA,linear,-0.272063120981882,0.0374324454226549
Halorubrum pleomorphic virus 12,Monodnaviria,HOV13,archaea,DNA,circular,0.0882524839275278,0.505254433989691
Sheldgoose hepatitis B virus,Riboviria,SHBV,vertebrates,DNA,circular,-0.453360607831677,0.000358747982143572
Microbacterium phage Efeko,Duplodnaviria,JTF60,bacteria,DNA,linear,0.490664123781107,0.000112971286711552
Jatropha mosaic virus,Monodnaviria,DU25,land plants,DNA,circular,-0.172647574517826,0.19051560295487
Gordonia phage BirksAndSocks,Duplodnaviria,HOS45,bacteria,DNA,linear,0.458036236119229,0.000307195780405742
Deformed wing virus,Riboviria,DWVgp1,invertebrates,RNA,linear,-0.513267095265927,4.16765427482046e-05
Escherichia phage Tls,Duplodnaviria,PTLS,bacteria,DNA,linear,-0.442898889538282,0.000503884574778748
Sicyonia brevirostris associated circular virus,Monodnaviria,AMQ99,invertebrates,DNA,circular,-0.417088174982912,0.0015141288982555
Roseobacter phage RDJL Phi 1,Duplodnaviria,RDJLphi1,bacteria,DNA,circular,0.315780245470485,0.0151753641253215
Klebsiella phage KpCHEMY26,Duplodnaviria,HYP97,bacteria,DNA,linear,-0.457510227936879,0.000312636494565261
Aeromonas phage phiO18P,Duplodnaviria,phiO18,bacteria,DNA,linear,0.446113383985973,0.000454426633352319
Torque teno midi virus 1,Anelloviridae,TTMidiV,human,DNA,circular,-0.403156049094097,0.00167635710717381
Streptomyces phage Picard,Duplodnaviria,HOR45,bacteria,DNA,linear,0.505902980713033,5.54086687952335e-05
Haartman Institute snake virus,Riboviria,FLA07,vertebrates,RNA,linear,-0.436002337814144,0.000626927042176366
Enterobacterial phage mEp390,Duplodnaviria,F859,bacteria,DNA,linear,-0.181180596142607,0.169266192549602
Bovine adeno-associated virus,Monodnaviria,BAAV,vertebrates,DNA,circular,0.0700421421760128,0.600446010061668
Sulfitobacter phage EE36phi1,Duplodnaviria,EE36P1,bacteria,DNA,linear,-0.207890122735243,0.11401065167083
Cryphonectria hypovirus 2,NA,CHVgp,NA,RNA,linear,-0.29812974868498,0.0221772251832581
Escherichia phage LL11,Duplodnaviria,HOU19,bacteria,DNA,linear,-0.492752776154296,9.08064009685463e-05
Phalaenopsis equestris amalgavirus 1,NA,EXJ43,NA,RNA,linear,-0.25406195207481,0.0524255839248958
Pandoravirus inopinatum,unclassified viruses,TW95,protozoa,DNA,linear,0.200116890707189,0.128415825231483
Swinepox virus,Varidnaviria,SWPVgp,vertebrates,DNA,linear,-0.549035651665693,9.57840606802888e-06
Mink bocavirus 1,Monodnaviria,BHR85,vertebrates,DNA,linear,-0.392109877264757,0.00228674588174462
Helicoverpa armigera iflavirus,Riboviria,B0D93,invertebrates,RNA,linear,-0.549210987726476,9.50613592615925e-06
Escherichia phage N30,Duplodnaviria,HOU33,bacteria,DNA,linear,-0.237755698421975,0.0699508186091559
Beihai picorna-like virus 58,Riboviria,BVK40,invertebrates,RNA,linear,-0.399240210403273,0.00187353553498029
Mycobacterium phage Halo,NA,Halo,NA,DNA,linear,0.507714786674459,5.16875701972712e-05
Batai virus,Riboviria,FLA96,human:invertebrates:vertebrates,RNA,linear,-0.484395090590298,0.000123128311306861
Dragonfly-associated microphage 1,unclassified viruses,D304,invertebrates,DNA,circular,0.108357685563998,0.412965667483012
Mycobacterium phage Sumter,Duplodnaviria,JMO01,bacteria,DNA,linear,0.482875511396844,0.000130036684030727
Beihai sipunculid worm virus 3,Riboviria,BVK78,invertebrates,RNA,linear,-0.300116890707189,0.0212716878184
Dragonfly larvae associated circular virus-5,unclassified viruses,BA86,invertebrates,DNA,circular,0.0790242702020979,0.554450993457159
Chalara elegans RNA Virus 1,Riboviria,TBDV1gp,fungi,RNA,linear,-0.247866744593805,0.0586045528336698
Wenzhou picorna-like virus 12,Riboviria,BWS98,invertebrates,RNA,linear,-0.503039158386908,6.17994268903825e-05
Acinetobacter phage vB AbaP B5,NA,FDI32,NA,NA,NA,-0.470134424313267,0.000203641708875774
Erwinia phage pEa SNUABM 32,NA,MPK67,NA,NA,NA,-0.223261250730567,0.0892259815525996
Mycobacterium phage Heath,NA,KNV18,NA,DNA,linear,0.522676797194623,2.87111530247929e-05
Klebsiella phage vB KpnP SU552A,NA,AVT67,NA,NA,NA,0.0645236703682057,0.626458130261876
Gordonia phage BritBrat,Duplodnaviria,BH769,bacteria,DNA,linear,0.485271770894214,0.000119298109442517
Streptococcus phage TP-J34,Duplodnaviria,H316,bacteria,DNA,linear,-0.502454704850964,6.31847142247592e-05
Escherichia phage vB EcoP C,NA,HOR58,NA,NA,NA,-0.465283459964933,0.000240545689863937
Koala retrovirus,Riboviria,D1Y44,vertebrates,DNA,linear,-0.142840444184687,0.27966901628101
Simian adenovirus 25,NA,NA,NA,DNA,linear,0.463237872589129,0.000257869846152886
Mycobacterium phage EvilGenius,Duplodnaviria,SEA,bacteria,DNA,linear,0.504324956165985,5.88501340187338e-05
Salmonella phage vB SenS SB28,NA,KGB38,NA,NA,NA,-0.39666861484512,0.00201411314512282
Escherichia phage flopper,Duplodnaviria,HWD01,bacteria,DNA,linear,-0.445645821157218,0.000461334012826806
Enterobacteria phage ATK47,Duplodnaviria,KNT12,bacteria,DNA,linear,-0.512448860315605,4.30291119743037e-05
Buenaventura virus,Riboviria,KM593,invertebrates,RNA,linear,-0.424547048509644,0.000892812067250743
Aeromonas phage AhSzq-1,Duplodnaviria,HOT03,bacteria,DNA,linear,-0.443717124488603,0.000490850492185103
Ustilaginoidea virens RNA virus 1,Riboviria,K741,fungi,RNA,linear,-0.28562244301578,0.028663146764908
Providencia phage vB PreS PR1,NA,FDH30,NA,NA,NA,-0.5531268264173,8.01924856870588e-06
Mycobacterium phage Phineas,Duplodnaviria,I5J44,bacteria,DNA,linear,0.544769140853302,1.15039257611485e-05
Enterococcus phage phiEF24C-P2,Duplodnaviria,HOS05,bacteria,DNA,circular,-0.514669783752192,3.94492243563735e-05
Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008],NA,D1Q80,NA,DNA,circular,-0.335359438924606,0.00972073814719881
Yongjia Tick Virus 2,Riboviria,BJK17,invertebrates,RNA,linear,-0.342314436002338,0.0082451942069535
Sin Nombre orthohantavirus,Riboviria,SNV,human:vertebrates,RNA,linear,-0.460666277030976,0.000281268741584958
Rodent arterivirus,Riboviria,EXI88,vertebrates,RNA,linear,-0.371420222092344,0.00398574594954294
Macaca mulatta papillomavirus 6,Monodnaviria,EXK82,vertebrates,DNA,circular,-0.137638807714787,0.297690893434797
Solanum nodiflorum mottle virus,Riboviria,B1T59,land plants,RNA,linear,-0.333898305084746,0.0100584726967743
Sida golden mosaic Lara virus,NA,D1Q81,NA,DNA,circular,-0.366160140268849,0.00456643209164105
Hubei sobemo-like virus 25,Riboviria,BVB29,invertebrates,RNA,linear,-0.0158971361776739,0.904750695910513
Wuhan house centipede virus 2,Riboviria,BZK00,invertebrates,RNA,linear,-0.536119228521333,1.65686271584469e-05
Weissella phage phiYS61,Duplodnaviria,phiYS61,bacteria,DNA,linear,-0.313617767387493,0.0159150817398135
Mycobacterium phage Nivrat,Duplodnaviria,I5H71,bacteria,DNA,linear,0.404967855055523,0.00159160932933399
Streptococcus phage phiARI0468-4,Duplodnaviria,BOW96,bacteria,DNA,linear,-0.550613676212741,8.94609435358262e-06
Mycobacterium phage Cane17,Duplodnaviria,KHO59,bacteria,DNA,linear,0.471829339567504,0.00019202521154533
Shigella phage SP18,Duplodnaviria,SP18,bacteria,DNA,linear,-0.495558153126826,8.18499621373768e-05
Bhendi yellow vein betasatellite,Tolecusatellitidae,ByvmvDbgp1,land plants,DNA,linear,-0.274451016935419,0.0788062213373596
Cotton chlorotic spot virus,Monodnaviria,D1S67,land plants,DNA,circular,-0.456049094097019,0.000328215325519632
Salinivibrio phage CW02,Duplodnaviria,F490,bacteria,DNA,linear,-0.265166569257744,0.0426882564370632
Pohorje myodes paramyxovirus 1,Riboviria,KM512,vertebrates,RNA,linear,-0.491817650496786,9.39873409579996e-05
Lactococcus phage vB Llc bIBBE1,NA,KMC91,NA,NA,NA,-0.516540035067212,3.6651062245032e-05
Tomato leaf curl Patna betasatellite,Tolecusatellitidae,ToLCPVDb,land plants,DNA,circular,-0.341447963800905,0.0145978700600148
Enterobacteria phage HK620,Duplodnaviria,HK620p,bacteria,DNA,circular,-0.430040911747516,0.000754653978916017
Equine parvovirus H,Monodnaviria,EXK06,vertebrates,DNA,linear,-0.21624780829924,0.0999480449330964
Beihai picorna-like virus 107,Riboviria,BVK32,invertebrates,RNA,linear,-0.55260081823495,8.20544884284896e-06
Spinach yellow vein Sikar virus,Monodnaviria,X991,land plants,DNA,circular,-0.463705435417884,0.000253812210882835
Mycobacterium phage Apizium,Duplodnaviria,AU098,bacteria,DNA,linear,0.495967270601987,8.06142080602605e-05
Diabrotica virgifera virgifera virus 3,unclassified viruses,B7L78,invertebrates,RNA,linear,-0.538690824079486,1.48791729350211e-05
Pseudomonas phage MP48,Duplodnaviria,LA67,bacteria,DNA,linear,0.458679135008767,0.000300663695981696
Staphylococcus phage phiSa2wa st1,NA,KMD34,NA,NA,NA,-0.581063705435418,2.26066837475721e-06
Hybanthus yellow mosaic virus,Monodnaviria,L1Q64,land plants,DNA,circular,-0.300701344243133,0.0210114299991229
Rat parvovirus 1,NA,D1R63,NA,DNA,linear,-0.439439507860561,0.000788880928800369
Pan troglodytes polyomavirus 7,NA,G142,NA,DNA,circular,-0.534415584415584,3.51401088328397e-05
Trematomus bernacchii polyomavirus 1,Monodnaviria,EXJ92,vertebrates,DNA,circular,-0.512565751022794,4.28334269414708e-05
Bat associated circovirus 5,Monodnaviria,D1Q10,vertebrates,DNA,circular,-0.204853041695147,0.129702811258572
Pistachio ampelovirus A,Riboviria,KM647,land plants,RNA,linear,-0.523728813559322,2.75225102567145e-05
Staphylococcus phage P1105,Duplodnaviria,HWA91,bacteria,DNA,linear,-0.571537112799533,3.51767909333628e-06
Tomato yellow leaf curl Shuangbai virus - [Y4536],Monodnaviria,A6773,land plants,DNA,circular,-0.474751607247224,0.000173415616654335
Dicliptera yellow mottle virus,Monodnaviria,Dymv,land plants,DNA,circular,-0.460607831677382,0.000281822433041388
Giardia lamblia virus,Riboviria,GLVgp,protozoa,RNA,linear,-0.230040911747516,0.0797448062425378
Rhynchobatus djiddensis polyomavirus 1,Monodnaviria,TH92,vertebrates,DNA,circular,-0.517066043249562,3.58979464492728e-05
Cercopithecine betaherpesvirus 5,Duplodnaviria,CeHV,human:vertebrates,DNA,linear,-0.0817650496785506,0.537152141764085
Mouse kobuvirus M-5/USA/2010,Riboviria,B187,vertebrates,RNA,linear,0.104149620105202,0.431427789043132
Rhodococcus phage REQ1,Duplodnaviria,RoPhREQ1,bacteria,DNA,linear,0.515604909409702,3.80262627394093e-05
Pyrobaculum filamentous virus 1,Adnaviria,A0E62,archaea,DNA,linear,-0.373699590882525,0.00375518275918275
Burkholderia phage BcepSaruman,Duplodnaviria,H1O16,bacteria,DNA,linear,0.3885447106955,0.00252251331749806
Mycobacterium phage DLane,Duplodnaviria,FGG21,bacteria,DNA,linear,0.443424897720631,0.000495469831060594
Andean potato mild mosaic virus,Riboviria,I864,land plants,RNA,linear,-0.0939216832261835,0.478203010713207
Pseudomonas phage vB PaeM USP 1,NA,H6S70,NA,NA,NA,0.236762127410871,0.0711550644052551
Proteus phage PM135,Duplodnaviria,FDJ15,bacteria,DNA,linear,-0.567738164815897,4.18343103942276e-06
Salmonella phage Marshall,Duplodnaviria,Marshall,bacteria,DNA,linear,-0.399240210403273,0.00187353553498029
Mycobacterium phage Seagreen,Duplodnaviria,SEAGREEN,bacteria,DNA,linear,0.413033313851549,0.00125924102667687
Respiratory syncytial virus,Riboviria,Rsvgp,human:vertebrates,RNA,linear,-0.476037405026301,0.00016576486127049
Citrobacter phage CR44b,Duplodnaviria,CF82,bacteria,DNA,linear,-0.161893629456458,0.219952502771182
Escherichia phage HK542,Duplodnaviria,F864,bacteria,DNA,linear,-0.157276446522501,0.233524987492837
Badger associated gemykibivirus 1,Monodnaviria,XF38,vertebrates,DNA,linear,-0.037229690239626,0.779022148620422
Galleria mellonella densovirus,Monodnaviria,GmDNVgp,invertebrates,DNA,linear,-0.570952659263589,3.61314543277053e-06
Streptococcus phage Sfi19,Duplodnaviria,Sfi19p,bacteria,DNA,linear,-0.507305669199299,5.25069926761723e-05
Beihai sobemo-like virus 17,Riboviria,BVB42,invertebrates,RNA,linear,-0.352951490356517,0.00636725511320724
Human hepegivirus,Riboviria,D1Q59,human,RNA,linear,-0.363588544710696,0.00487669612013662
Ixeridium yellow mottle virus 1,Riboviria,A3Q44,land plants,RNA,linear,-0.280187025131502,0.0319443655451555
crAssphage cr128 1,NA,KNV43,NA,NA,NA,-0.530391583869082,2.0995275975496e-05
Rabbit fibroma virus,Varidnaviria,SFV,vertebrates,DNA,linear,-0.370718877849211,0.00405917460942293
Acinetobacter phage vB AbaP B3,NA,FDI31,NA,NA,NA,-0.46417299824664,0.000249813148903711
Feline infectious peritonitis virus,Riboviria,FIPV,vertebrates,RNA,linear,-0.539859731151374,1.41656805872155e-05
Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001],Monodnaviria,KM464,land plants,DNA,circular,-0.388836937463472,0.00250240076030982
Quezon virus,Riboviria,CAB95,vertebrates,RNA,linear,-0.464289888953828,0.000248822445969012
Acinetobacter phage YMC13/03/R2096,Duplodnaviria,ACQ36,bacteria,DNA,linear,-0.506136762127411,5.49149687704901e-05
Mycobacterium phage Blue,Duplodnaviria,JMN53,bacteria,DNA,linear,0.509000584453536,4.91887175508698e-05
Trichechus manatus latirostris papillomavirus 2,Monodnaviria,TMLPV,vertebrates,DNA,circular,-0.421858562244302,0.000968443682171447
Halastavi arva RNA virus,Riboviria,HalV,vertebrates,RNA,linear,-0.138866160140269,0.293371512430985
Kelp fly virus,Riboviria,KFV,invertebrates,RNA,linear,-0.515078901227352,3.88207057354162e-05
Sclerotinia sclerotiorum debilitation-associated RNA virus,Riboviria,SSDRV,fungi,RNA,linear,-0.540093512565751,1.40268730731062e-05
Changjiang narna-like virus 1,Riboviria,BWV50,invertebrates,RNA,linear,-0.1645821157218,0.212310041527271
Odonata-associated circular virus-7,unclassified viruses,EXL05,invertebrates,DNA,circular,-0.476037405026301,0.00016576486127049
Arthrobacter phage Yang,Duplodnaviria,HOU52,bacteria,DNA,linear,0.441729982466394,0.000523052028548394
Pseudomonas phage YMC12/01/R960,Duplodnaviria,MPI97,bacteria,DNA,linear,0.469783752191701,0.000206124212317981
Aspergillus fumigatus polymycovirus 1,Riboviria,F2Q13,fungi,RNA,linear,0.348684979544126,0.00706968542847251
Diatom colony associated dsRNA virus 15,NA,EXJ41,NA,RNA,linear,-0.426417299824664,0.000843399277121511
Escherichia phage muut,Duplodnaviria,JR322,bacteria,DNA,linear,-0.525306838106371,2.58250976685495e-05
Escherichia phage vB EcoS ESCO41,NA,HOR71,NA,NA,NA,-0.347106954997078,0.00734623533714766
Salmonella phage Sw2,Duplodnaviria,HOU17,bacteria,DNA,linear,-0.520046756282876,3.18947789618316e-05
tottorivirus A1,NA,KM501,NA,RNA,linear,-0.351431911163063,0.00661005180374608
Wuhan sharpbelly bornavirus,Riboviria,KM513,vertebrates,RNA,linear,-0.373056691992987,0.00381898145785107
Lactococcus phage 62601,Duplodnaviria,HYP34,bacteria,DNA,linear,-0.554880187025132,7.42680528787012e-06
Klebsiella phage vB KpnM BIS47,NA,BIS47,NA,NA,NA,-0.464465225014611,0.000247343140362757
Watermelon chlorotic stunt virus,Monodnaviria,WmCSV,land plants,DNA,circular,-0.186090005844535,0.157858761802478
Avian metaavulavirus 20,Riboviria,EXL22,vertebrates,RNA,linear,-0.531385154880187,2.015582960995e-05
Sauropus leaf curl virus,Monodnaviria,D1Q77,land plants,DNA,circular,-0.272121566335476,0.0373903221295311
Sporobolus striate mosaic virus 1,Monodnaviria,C411,land plants,DNA,circular,0.107831677381648,0.415248018041384
Cronobacter phage vB CsaM GAP31,NA,GAP31,NA,NA,NA,-0.342022209234366,0.00830299813039295
Ageratum yellow vein China betasatellite,Tolecusatellitidae,AYVCVDbp1,land plants,DNA,circular,-0.47953667953668,0.00341533141312773
Enterococcus phage IME-EFm1,Duplodnaviria,IME_001,bacteria,DNA,linear,-0.491583869082408,9.47984811856466e-05
Malvastrum yellow vein Honghe virus,Monodnaviria,BFS43,land plants,DNA,circular,-0.43354763296318,0.000676928168336448
Mycobacterium phage Fredward,Duplodnaviria,V424,bacteria,DNA,circular,0.523845704266511,2.73933025255908e-05
Leuconostoc phage Ln-8,Duplodnaviria,ACQ48,bacteria,DNA,linear,-0.506019871420222,5.51613073883481e-05
Sulfolobus polyhedral virus 2,Portogloboviridae,KM458,archaea,DNA,circular,-0.523144360023378,2.81770939246589e-05
Vibrio phage 1.249.A. 10N.261.55.B9,NA,KMD63,NA,NA,NA,-0.370192869666862,0.00411503180130127
Wenzhou picorna-like virus 33,Riboviria,BWS77,invertebrates,RNA,linear,-0.255639976621859,0.0509400318321613
Jugra virus,NA,B1T89,NA,RNA,linear,-0.384862653419053,0.00278861205483464
Ectropis obliqua nucleopolyhedrovirus,Naldaviricetes,EONV,invertebrates,DNA,circular,-0.364172998246639,0.00480458859030057
Sphaeropsis sapinea RNA virus 2,NA,SsRv2gp,NA,RNA,linear,0.194798363530099,0.139043665751657
Hubei sobemo-like virus 22,Riboviria,BVB32,invertebrates,RNA,linear,-0.189362945645821,0.150577346269056
Canis familiaris papillomavirus 8,Monodnaviria,CPV8,vertebrates,DNA,circular,-0.358328462887201,0.00556999843148645
Flavobacterium phage FCL-2,Duplodnaviria,ABG42,bacteria,DNA,linear,-0.609643483343074,5.63353466142079e-07
Hepatitis C virus genotype 5,Riboviria,HCV5,human:vertebrates,RNA,linear,0.0804208065458796,0.543883448427433
Cryphonectria parasitica mitovirus 1-NB631,Riboviria,CpmV1gp1,fungi,RNA,linear,-0.518994739918177,3.32577227773028e-05
Cyanophage S-RIM50,Duplodnaviria,BJD43,bacteria,DNA,linear,-0.477732320280538,0.000156153588242437
Circovirus-like genome DHCV-2,NA,BBV85,NA,DNA,circular,-0.360374050263004,0.00529066847150662
Pseudomonas phage MD8,Duplodnaviria,BI094,bacteria,DNA,linear,0.448743424897721,0.000417299193782717
Hyperthermophilic Archaeal Virus 2,unclassified archaeal viruses,HAV2,NA,DNA,circular,0.176154295733489,0.181561261410011
Cassava common mosaic virus,Riboviria,CsCMVgp,land plants,RNA,linear,-0.288661601402689,0.0269557141749828
Hubei picorna-like virus 46,Riboviria,BVA75,invertebrates,RNA,linear,-0.443661755206251,0.000551546617886181
Free State vervet virus,Riboviria,A6775,vertebrates,RNA,linear,-0.123378141437756,0.35091470746166
Beihai picorna-like virus 117,Riboviria,BVK22,invertebrates,RNA,linear,-0.340561075394506,0.00859737125463436
Wenzhou narna-like virus 4,Riboviria,BVF75,invertebrates,RNA,linear,0.0523670368205728,0.692938189611906
Lactobacillus phage phig1e,Duplodnaviria,phig1ep,bacteria,DNA,circular,-0.408825248392753,0.00142389324191844
Mothra virus,Riboviria,FLA22,invertebrates,RNA,linear,-0.392226767971946,0.00227936166597032
Gordonia phage Jellybones,Duplodnaviria,HWC76,bacteria,DNA,linear,0.460841613091759,0.000279613636863891
Bamaga virus,Riboviria,B1T84,invertebrates,RNA,linear,-0.340561075394506,0.00859737125463436
Escherichia phage vB EcoM-G28,NA,KMC08,NA,NA,NA,-0.544593804792519,1.15903210406705e-05
Beihai picorna-like virus 39,Riboviria,BVK64,invertebrates,RNA,linear,-0.0808883693746347,0.541537466853562
Salivirus A,Riboviria,Hk1,human:vertebrates,RNA,linear,0.112741087083577,0.394231158301262
Cronobacter phage Dev2,Duplodnaviria,BN930,bacteria,DNA,linear,0.0222676797194623,0.866810583666696
Escherichia phage PA2,Duplodnaviria,AS349,bacteria,DNA,linear,-0.272998246639392,0.036763199279256
Camel associated porprismacovirus 3,Monodnaviria,D1U65,vertebrates,DNA,circular,-0.348118982435633,0.00769504560118654
Pseudomonas phage phi12,Riboviria,phi,bacteria,RNA,linear,0.196376388077148,0.135823377306172
Staphylococcus phage CSA13,Duplodnaviria,HOV16,bacteria,DNA,linear,-0.504998615767941,6.66772115882339e-05
Ageratum yellow vein Pakistan alphasatellite,Alphasatellitidae,BWU76,land plants,DNA,circular,-0.400570391495981,0.00217511081813004
Avian metapneumovirus,Riboviria,D1Y46,vertebrates,RNA,linear,-0.48760958503799,0.000109614371040295
Beihai sobemo-like virus 5,Riboviria,BWU90,invertebrates,RNA,linear,0.0301578024547049,0.82024342461845
Tick-borne encephalitis virus,Riboviria,TBEVgp1,human:invertebrates:vertebrates,RNA,linear,-0.137463471654004,0.298311330303825
Sewage-associated gemycircularvirus 5,Monodnaviria,SP77,human,DNA,circular,0.0420498938755422,0.753397307656858
Lactococcus phage 949,Duplodnaviria,LaPh949,bacteria,DNA,linear,-0.501578024547049,6.53165842575706e-05
